city,x,y
Bagherhat,-76,-157
Barisal,-6,-193
Bhairab,86,48
Bogura,-130,142
Brahmanbaria,110,26
Chandpur,49,-70
Chittagong,202,-136
Chowmuhani,98,-98
Chuadanga,-203,-17
Comilla,112,-48
Coxs Bazar,238,-319
Dhaka,-15,-40
Dinajpur,-226,261
Faridpur,-58,-27
Feni,142,-108
Gaibandha,-112,223
Gazipur,-8,30
Habiganj,149,85
Jamalpur,-53,161
Jhalokhati,-15,-142
Jhenaidah,-154,-32
Jossore,-148,-89
Joypurhat,-175,178
Khulna,-132,-115
Kishoreganj,77,88
Kurigram,-88,277
Kushtia,-166,7
Lalmonirhat,-120,299
Magura,-123,-49
Maulvibazar,192,111
Mymensingh,12,163
Naogaon,-199,140
Narayanganj,35,-16
Narsingdi,55,27
Natore,-179,94
Nawabganj,-270,114
Netrokona,55,145
Noakhali,105,-137
Pabna,-132,39
Panchagarh,-240,350
Patiya,233,-181
Patuakhali,-10,-231
Pirojpur,-42,-168
Rajshahi,-165,122
Rangamati,251,-151
Rangpur,-138,257
Saidpur,-183,282
Satkhira,-164,-154
Savar,-21,-46
Shahjadpur,-115,65
Sherpur,-37,182
Sirajgonj,-78,91
Sreepur,26,58
Sunamganj,151,170
Sylhet,192,131
Tangail,-51,65
Tongi,-12,10
